candidate,gender,party,count,transfer,total,condition,constituency_x,quota,seats,constituency_y
"Candon, Molly",F,Party for Animal Welfare,1,0.0,423.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Casserly, Marie",F,Non-party,1,0.0,2419.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Clarke, Michael",M,Independent Ireland,1,0.0,5979.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Corcoran, Caroline",F,Independent Ireland,1,0.0,69.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Cosgrove, Nessa",F,Labour Party,1,0.0,2086.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Feighan, Frankie",M,Fine Gael,1,0.0,8980.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Gallagher, Bláithín",F,Green Party,1,0.0,725.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Guckian, Des",M,Non-party,1,0.0,887.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Harkin, Marian",F,Non-party,1,0.0,4347.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kelly, Michael",M,Irish Freedom Party,1,0.0,770.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kenny, Martin",M,Sinn Féin,1,0.0,7764.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacConville, Diarmuid",M,Non-party,1,0.0,64.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacManus, Chris",M,Sinn Féin,1,0.0,5173.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"McSharry, Edel",F,Fianna Fáil,1,0.0,4466.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Monaghan, Graham",M,Aontú,1,0.0,1112.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Boyle, Gino",M,People Before Profit-Solidarity,1,0.0,1657.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Rourke, Paddy",M,Fianna Fáil,1,0.0,4066.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Scanlon, Eamon",M,Fianna Fáil,1,0.0,5913.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Candon, Molly",F,Party for Animal Welfare,2,-423.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Casserly, Marie",F,Non-party,2,75.0,2494.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Clarke, Michael",M,Independent Ireland,2,54.0,6033.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Corcoran, Caroline",F,Independent Ireland,2,-69.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Cosgrove, Nessa",F,Labour Party,2,63.0,2149.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Feighan, Frankie",M,Fine Gael,2,24.0,9004.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Gallagher, Bláithín",F,Green Party,2,57.0,782.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Guckian, Des",M,Non-party,2,22.0,909.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Harkin, Marian",F,Non-party,2,31.0,4378.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kelly, Michael",M,Irish Freedom Party,2,39.0,809.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kenny, Martin",M,Sinn Féin,2,30.0,7794.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacConville, Diarmuid",M,Non-party,2,-64.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacManus, Chris",M,Sinn Féin,2,27.0,5200.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"McSharry, Edel",F,Fianna Fáil,2,20.0,4486.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Monaghan, Graham",M,Aontú,2,14.0,1126.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Boyle, Gino",M,People Before Profit-Solidarity,2,65.0,1722.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Rourke, Paddy",M,Fianna Fáil,2,10.0,4076.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Scanlon, Eamon",M,Fianna Fáil,2,13.0,5926.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Candon, Molly",F,Party for Animal Welfare,3,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Casserly, Marie",F,Non-party,3,38.0,2532.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Clarke, Michael",M,Independent Ireland,3,6.0,6039.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Corcoran, Caroline",F,Independent Ireland,3,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Cosgrove, Nessa",F,Labour Party,3,321.0,2470.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Feighan, Frankie",M,Fine Gael,3,86.0,9090.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Gallagher, Bláithín",F,Green Party,3,-782.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Guckian, Des",M,Non-party,3,9.0,918.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Harkin, Marian",F,Non-party,3,79.0,4457.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kelly, Michael",M,Irish Freedom Party,3,1.0,810.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kenny, Martin",M,Sinn Féin,3,45.0,7839.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacConville, Diarmuid",M,Non-party,3,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacManus, Chris",M,Sinn Féin,3,25.0,5225.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"McSharry, Edel",F,Fianna Fáil,3,35.0,4521.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Monaghan, Graham",M,Aontú,3,16.0,1142.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Boyle, Gino",M,People Before Profit-Solidarity,3,77.0,1799.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Rourke, Paddy",M,Fianna Fáil,3,20.0,4096.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Scanlon, Eamon",M,Fianna Fáil,3,16.0,5942.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Candon, Molly",F,Party for Animal Welfare,4,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Casserly, Marie",F,Non-party,4,57.0,2589.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Clarke, Michael",M,Independent Ireland,4,174.0,6213.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Corcoran, Caroline",F,Independent Ireland,4,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Cosgrove, Nessa",F,Labour Party,4,11.0,2481.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Feighan, Frankie",M,Fine Gael,4,13.0,9103.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Gallagher, Bláithín",F,Green Party,4,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Guckian, Des",M,Non-party,4,73.0,991.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Harkin, Marian",F,Non-party,4,67.0,4524.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kelly, Michael",M,Irish Freedom Party,4,-810.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kenny, Martin",M,Sinn Féin,4,28.0,7867.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacConville, Diarmuid",M,Non-party,4,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacManus, Chris",M,Sinn Féin,4,34.0,5259.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"McSharry, Edel",F,Fianna Fáil,4,10.0,4531.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Monaghan, Graham",M,Aontú,4,205.0,1347.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Boyle, Gino",M,People Before Profit-Solidarity,4,46.0,1845.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Rourke, Paddy",M,Fianna Fáil,4,5.0,4101.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Scanlon, Eamon",M,Fianna Fáil,4,10.0,5952.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Candon, Molly",F,Party for Animal Welfare,5,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Casserly, Marie",F,Non-party,5,42.0,2631.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Clarke, Michael",M,Independent Ireland,5,117.0,6330.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Corcoran, Caroline",F,Independent Ireland,5,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Cosgrove, Nessa",F,Labour Party,5,6.0,2487.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Feighan, Frankie",M,Fine Gael,5,110.0,9213.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Gallagher, Bláithín",F,Green Party,5,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Guckian, Des",M,Non-party,5,-991.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Harkin, Marian",F,Non-party,5,154.0,4678.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kelly, Michael",M,Irish Freedom Party,5,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kenny, Martin",M,Sinn Féin,5,189.0,8056.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacConville, Diarmuid",M,Non-party,5,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacManus, Chris",M,Sinn Féin,5,17.0,5276.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"McSharry, Edel",F,Fianna Fáil,5,29.0,4560.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Monaghan, Graham",M,Aontú,5,78.0,1425.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Boyle, Gino",M,People Before Profit-Solidarity,5,17.0,1862.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Rourke, Paddy",M,Fianna Fáil,5,171.0,4272.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Scanlon, Eamon",M,Fianna Fáil,5,13.0,5965.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Candon, Molly",F,Party for Animal Welfare,6,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Casserly, Marie",F,Non-party,6,95.0,2726.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Clarke, Michael",M,Independent Ireland,6,367.0,6697.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Corcoran, Caroline",F,Independent Ireland,6,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Cosgrove, Nessa",F,Labour Party,6,40.0,2527.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Feighan, Frankie",M,Fine Gael,6,65.0,9278.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Gallagher, Bláithín",F,Green Party,6,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Guckian, Des",M,Non-party,6,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Harkin, Marian",F,Non-party,6,272.0,4950.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kelly, Michael",M,Irish Freedom Party,6,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kenny, Martin",M,Sinn Féin,6,117.0,8173.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacConville, Diarmuid",M,Non-party,6,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacManus, Chris",M,Sinn Féin,6,111.0,5387.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"McSharry, Edel",F,Fianna Fáil,6,42.0,4602.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Monaghan, Graham",M,Aontú,6,-1425.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Boyle, Gino",M,People Before Profit-Solidarity,6,92.0,1954.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Rourke, Paddy",M,Fianna Fáil,6,38.0,4310.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Scanlon, Eamon",M,Fianna Fáil,6,62.0,6027.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Candon, Molly",F,Party for Animal Welfare,7,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Casserly, Marie",F,Non-party,7,168.0,2894.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Clarke, Michael",M,Independent Ireland,7,88.0,6785.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Corcoran, Caroline",F,Independent Ireland,7,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Cosgrove, Nessa",F,Labour Party,7,319.0,2846.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Feighan, Frankie",M,Fine Gael,7,39.0,9317.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Gallagher, Bláithín",F,Green Party,7,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Guckian, Des",M,Non-party,7,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Harkin, Marian",F,Non-party,7,180.0,5130.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kelly, Michael",M,Irish Freedom Party,7,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Kenny, Martin",M,Sinn Féin,7,258.0,8431.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacConville, Diarmuid",M,Non-party,7,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"MacManus, Chris",M,Sinn Féin,7,655.0,6042.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"McSharry, Edel",F,Fianna Fáil,7,71.0,4673.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Monaghan, Graham",M,Aontú,7,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Boyle, Gino",M,People Before Profit-Solidarity,7,-1954.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"O'Rourke, Paddy",M,Fianna Fáil,7,19.0,4329.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Scanlon, Eamon",M,Fianna Fáil,7,32.0,6059.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Candon, Molly",F,Party for Animal Welfare,8,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Casserly, Marie",F,Non-party,8,586.0,3480.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Clarke, Michael",M,Independent Ireland,8,94.0,6879.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Corcoran, Caroline",F,Independent Ireland,8,0.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Cosgrove, Nessa",F,Labour Party,8,-2846.0,0.0,Eliminated,Sligo-Leitrim,11381,4,Sligo-Leitrim
"Feighan, Frankie",M,Fine Gael,8,426.0,9743.0,Continuing,Sligo-Leitrim,11381,4,Sligo-Leitrim
