SeanadElectionCountPanelCandidateFirstName,SeanadElectionCountPanelCandidateLastName,SeanadElectionCountPanelCandidateNote,CandidateName,SeanadElectionCountDelegateVotesNo,SeanadElectionCountDelegateVotesTransferNo,Votes,SeanadElectionCountNo,SeanadElectionCountPanelQuota,SeanadElectionCountPanelCandidateStatusID,SeanadElectionPanelNameENG,SeanadElectionPanelNameGLE,SeanadElectionSubPanelNameENG,SeanadElectionCountOutcomeTypeNameENG,IsDistributionOfSurplusCompleted,SeanadElectionCountPanelCandidateStatusNameENG,SeanadElectionCountPanelCandidateStatusNameGLE,SeanadElectionCountPanelCandidateElectedPositionNo,SeanadElectionCountPanelCandidatePositionNo,SeanadElectionCountPanelMasterID,CountResultLine,CountResultLineGLE,SeanadElectionCountPanelAreaNameENG,ElectionPanelNameAndArea,SeanadElectionCountTypeID,SeanadElectionCountStateOfThePollPositionNo
Garret,Ahearn,,"Ahearn, Garret",82000,0,82000,1,143626,3,Administrative Panel,An Rolla Riaracháin,Oireachtas,Distribution Of Surplus,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,7
Garret,Ahearn,,"Ahearn, Garret",82000,151,82151,2,143626,3,Administrative Panel,An Rolla Riaracháin,Oireachtas,Exclusion,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,7
Garret,Ahearn,,"Ahearn, Garret",82000,0,82151,3,143626,3,Administrative Panel,An Rolla Riaracháin,Oireachtas,Exclusion,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,7
Garret,Ahearn,,"Ahearn, Garret",82000,0,82151,4,143626,3,Administrative Panel,An Rolla Riaracháin,Oireachtas,Exclusion,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,7
Garret,Ahearn,,"Ahearn, Garret",82000,0,82151,5,143626,3,Administrative Panel,An Rolla Riaracháin,Oireachtas,Exclusion,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,7
Garret,Ahearn,,"Ahearn, Garret",82000,6000,88151,6,143626,3,Administrative Panel,An Rolla Riaracháin,Oireachtas,Exclusion,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,7
Garret,Ahearn,,"Ahearn, Garret",82000,2000,90151,7,143626,3,Administrative Panel,An Rolla Riaracháin,Oireachtas,Exclusion,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,7
Garret,Ahearn,,"Ahearn, Garret",82000,13000,103151,8,143626,3,Administrative Panel,An Rolla Riaracháin,Oireachtas,Exclusion,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,6
Garret,Ahearn,,"Ahearn, Garret",82000,17000,120151,9,143626,3,Administrative Panel,An Rolla Riaracháin,Oireachtas,Exclusion,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,5
Garret,Ahearn,,"Ahearn, Garret",82000,24000,144151,10,143626,2,Administrative Panel,An Rolla Riaracháin,Oireachtas,Distribution Of Surplus,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,2
Garret,Ahearn,,"Ahearn, Garret",82000,0,144151,11,143626,2,Administrative Panel,An Rolla Riaracháin,Oireachtas,Distribution Of Surplus,1,Continuing,ContinuingGLE,2,7,548,,,Live,"Administrative Panel, Live, 2025-01-30, 548",1,2
